Case Number,EVENTTIME,ACTIVITY_EN,Flag
141717723,2023-10-05 21:54:15,Call Session End,0
141717723,2023-10-05 21:54:30,Create Work Order,0
141717723,2023-10-05 21:54:31,Submit Work Order,0
141717723,2023-10-16 21:16:19,Manual Case Created,0
151616851,2023-05-20 12:16:34,Email Inbound,0
151616851,2023-05-20 12:16:36,Call Session Start,1
151616851,2023-05-20 12:17:42,Customer Chat Initiated,0
151616851,2023-05-20 12:22:05,Call Outbound,0
151616851,2023-05-20 12:23:47,Set No Reply Required,0
151616851,2023-05-20 12:23:59,Call Session End,0
151616851,2023-05-20 12:30:27,Create Work Order,0
151616851,2023-05-20 12:31:17,Submit Work Order,0
151616851,2023-05-20 12:32:36,Manual Case Created,0
151616851,2023-05-20 12:33:43,Set Case Status To Closed,0
151616851,2023-05-20 12:38:01,Call Inbound,0
151616851,2023-05-20 12:45:26,Set Work Order Status to Closed,0
151616851,2023-05-20 13:12:56,Set Work Order Status to Approved,0
151616851,2023-05-20 15:24:26,Set Work Order Status to Pending,0
151616851,2023-05-20 15:30:33,Set Case Status To Completed,0
151616851,2023-05-20 15:30:50,Task Created: Review/ Follow Up,0
151616851,2023-05-20 16:43:08,Task Completed: Review/ Follow Up,0
181616847,2023-05-19 13:12:09,Set Case Status To Closed,0
181616847,2023-05-19 13:12:10,Call Inbound,0
181616847,2023-05-19 13:32:57,Set Work Order Status to Closed,0
181616847,2023-05-19 13:35:25,Set Work Order Status to Approved,0
181616847,2023-05-19 13:36:19,Set Work Order Status to Pending,0
181616847,2023-05-19 13:38:42,Set Case Status To Completed,0
181616847,2023-05-19 13:42:58,Task Created: Review/ Follow Up,0
181616847,2023-05-19 14:53:14,Task Completed: Review/ Follow Up,0
181616847,2023-05-19 14:53:25,Email Outbound,0
181616847,2023-05-19 14:53:35,Email Inbound,0
181616847,2023-05-19 14:54:47,Call Session Start,1
181616847,2023-05-29 20:51:06,Customer Chat Initiated,0
191717714,2023-10-04 14:51:06,Set Work Order Status to Approved,0
191717714,2023-10-04 15:32:26,Set Work Order Status to Pending,0
191717714,2023-10-04 15:36:24,Set Case Status To Completed,0
191717714,2023-10-06 18:47:33,Task Created: Review/ Follow Up,0
191717714,2023-10-06 21:38:40,Task Completed: Review/ Follow Up,0
191717714,2023-10-06 21:38:40,Email Outbound,0
191717714,2023-10-06 21:38:40,Email Inbound,0
191717714,2023-10-06 21:38:40,Call Session Start,1
191717714,2023-10-06 21:38:40,Customer Chat Initiated,0
191717714,2023-10-06 21:38:40,Call Outbound,0
191717714,2023-10-06 21:38:40,Set No Reply Required,0
191717714,2023-10-06 21:38:40,Call Session End,0
191717714,2023-10-06 21:38:40,Create Work Order,0
191717714,2023-10-06 21:38:40,Submit Work Order,0
191717714,2023-10-06 21:38:40,Manual Case Created,0
191717714,2023-10-06 21:38:40,Set Case Status To Closed,0
191717714,2023-10-06 21:38:40,Call Inbound,0
191717714,2023-10-06 21:38:40,Set Work Order Status to Closed,0
191717714,2023-10-06 21:38:40,Set Work Order Status to Approved,0
191717714,2023-10-06 21:38:40,Set Work Order Status to Pending,0
191717714,2023-10-06 21:38:40,Set Case Status To Completed,0
191717714,2023-10-06 21:38:40,Task Created: Review/ Follow Up,0
191717714,2023-10-06 21:38:40,Task Completed: Review/ Follow Up,0
191717714,2023-10-06 21:38:40,Email Outbound,0
191717714,2023-10-06 21:38:40,Email Inbound,0
191717714,2023-10-06 21:38:40,Call Session Start,1
191717714,2023-10-06 21:38:40,Customer Chat Initiated,0
191717714,2023-10-06 21:38:40,Call Outbound,0
191717714,2023-10-06 21:38:50,Set No Reply Required,0
191717714,2023-10-06 21:41:27,Call Session End,0
191717714,2023-10-06 21:41:30,Create Work Order,0
191717714,2023-10-06 21:41:30,Submit Work Order,0
191717714,2023-10-06 21:42:16,Manual Case Created,0
191717714,2023-10-06 21:44:21,Set Case Status To Closed,0
191717714,2023-10-10 22:36:56,Call Inbound,0
191717714,2023-10-10 22:36:56,Set Work Order Status to Closed,0
191717714,2023-10-10 22:36:56,Set Work Order Status to Approved,0
191717714,2023-10-10 23:05:24,Set Work Order Status to Pending,0
191717714,2023-10-10 23:05:24,Set Case Status To Completed,0
191717714,2023-10-10 23:05:24,Task Created: Review/ Follow Up,0
191717714,2023-10-10 23:05:29,Task Completed: Review/ Follow Up,0
191717714,2023-10-10 23:05:33,Email Outbound,0
191717714,2023-10-10 23:05:43,Email Inbound,0
191717714,2023-10-10 23:05:43,Call Session Start,1
191717714,2023-10-10 23:05:43,Customer Chat Initiated,0
191717714,2023-10-10 23:05:52,Call Outbound,0
191717714,2023-10-10 23:05:52,Set No Reply Required,0
191717714,2023-10-10 23:08:24,Call Session End,0
191717714,2023-10-10 23:09:06,Create Work Order,0
191717714,2023-10-10 23:09:06,Submit Work Order,0
191717714,2023-10-10 23:17:42,Manual Case Created,0
191717714,2023-10-11 01:08:20,Set Case Status To Closed,0
191717714,2023-10-11 12:40:43,Call Inbound,0
191717714,2023-10-11 12:40:45,Set Work Order Status to Closed,0
191717714,2023-10-11 12:40:45,Set Work Order Status to Approved,0
191717714,2023-10-11 12:40:45,Set Work Order Status to Pending,0
191717714,2023-10-11 12:40:48,Set Case Status To Completed,0
191717714,2023-10-11 18:44:03,Task Created: Review/ Follow Up,0
191717714,2023-10-11 18:44:03,Task Completed: Review/ Follow Up,0
191717714,2023-10-11 18:44:03,Email Outbound,0
191717714,2023-10-11 18:44:04,Email Inbound,0
191717714,2023-10-11 18:47:25,Call Session Start,1
191717714,2023-10-11 18:47:25,Customer Chat Initiated,0
191717714,2023-10-11 18:47:26,Call Outbound,0
191717714,2023-10-11 18:47:28,Set No Reply Required,0
191717714,2023-10-11 18:47:30,Call Session End,0
191717714,2023-10-11 22:41:16,Create Work Order,0
191717714,2023-10-11 22:45:26,Submit Work Order,0
191717714,2023-10-11 22:59:19,Manual Case Created,0
191717714,2023-10-11 22:59:19,Set Case Status To Closed,0
191717714,2023-10-11 22:59:19,Call Inbound,0
191717714,2023-10-11 22:59:19,Set Work Order Status to Closed,0
191717714,2023-10-11 22:59:19,Set Work Order Status to Approved,0
191717714,2023-10-11 22:59:19,Set Work Order Status to Pending,0
191717714,2023-10-11 22:59:19,Set Case Status To Completed,0
191717714,2023-10-11 22:59:19,Task Created: Review/ Follow Up,0
191717714,2023-10-11 22:59:19,Task Completed: Review/ Follow Up,0
191717714,2023-10-11 22:59:19,Email Outbound,0
191717714,2023-10-11 22:59:19,Email Inbound,0
191717714,2023-10-11 22:59:19,Call Session Start,1
191717714,2023-10-11 22:59:19,Customer Chat Initiated,0
191717714,2023-10-11 22:59:19,Call Outbound,0
191717714,2023-10-11 22:59:19,Set No Reply Required,0
191717714,2023-10-11 22:59:28,Call Session End,0
191717714,2023-10-11 23:01:26,Create Work Order,0
191717714,2023-10-11 23:01:26,Submit Work Order,0
191717714,2023-10-11 23:01:27,Manual Case Created,0
191717714,2023-10-11 23:01:36,Set Case Status To Closed,0
191717714,2023-10-11 23:01:36,Call Inbound,0
191717714,2023-10-11 23:01:36,Set Work Order Status to Closed,0
191717714,2023-10-11 23:01:41,Set Work Order Status to Approved,0
191717714,2023-10-11 23:01:41,Set Work Order Status to Pending,0
191717714,2023-10-11 23:02:53,Set Case Status To Completed,0
191717714,2023-10-11 23:02:53,Task Created: Review/ Follow Up,0
191717714,2023-10-11 23:03:14,Task Completed: Review/ Follow Up,0
191717714,2023-10-11 23:12:39,Email Outbound,0
191717714,2023-10-12 00:38:21,Email Inbound,0
191717714,2023-10-12 18:41:15,Call Session Start,1
191717714,2023-10-12 18:41:15,Customer Chat Initiated,0
191717714,2023-10-12 19:40:11,Call Outbound,0
191717714,2023-10-12 19:40:11,Set No Reply Required,0
191717714,2023-10-12 19:40:13,Call Session End,0
191717714,2023-10-12 19:40:48,Create Work Order,0
191717714,2023-10-12 19:40:55,Submit Work Order,0
191717714,2023-10-12 19:40:55,Manual Case Created,0
191717714,2023-10-12 19:40:57,Set Case Status To Closed,0
191717714,2023-10-12 23:54:48,Call Inbound,0
191717714,2023-10-12 23:54:49,Set Work Order Status to Closed,0
191717714,2023-10-12 23:59:20,Set Work Order Status to Approved,0
191717714,2023-10-12 23:59:21,Set Work Order Status to Pending,0
191717714,2023-10-13 03:14:20,Set Case Status To Completed,0
191717714,2023-10-13 05:40:45,Task Created: Review/ Follow Up,0
191717714,2023-10-13 05:40:45,Task Completed: Review/ Follow Up,0
191717714,2023-10-13 18:12:29,Email Outbound,0
191717714,2023-11-02 00:37:59,Email Inbound,0
191717714,2023-11-02 00:38:23,Call Session Start,1
191717714,2023-11-02 00:38:23,Customer Chat Initiated,0
191717714,2023-11-07 20:01:06,Call Outbound,0
191717714,2023-11-07 20:02:25,Set No Reply Required,0
191717714,2023-11-08 02:50:58,Call Session End,0
191717714,2023-11-08 02:51:12,Create Work Order,0
191717714,2023-11-08 02:52:29,Submit Work Order,0
191717714,2023-11-09 15:44:31,Manual Case Created,0
191717714,2023-11-09 15:45:16,Set Case Status To Closed,0
191717714,2023-11-14 17:50:20,Call Inbound,0
191717714,2023-11-14 17:51:36,Set Work Order Status to Closed,0
191717714,2023-11-14 17:51:36,Set Work Order Status to Approved,0
191717714,2023-11-14 17:51:36,Set Work Order Status to Pending,0
191717714,2023-11-14 17:51:36,Set Case Status To Completed,0
191717714,2023-11-14 17:51:36,Task Created: Review/ Follow Up,0
191717714,2023-11-14 17:51:36,Task Completed: Review/ Follow Up,0
191717714,2023-11-14 17:51:36,Email Outbound,0
191717714,2023-11-14 17:51:36,Email Inbound,0
191717714,2023-11-14 17:51:36,Call Session Start,1
191717714,2023-11-14 17:51:36,Customer Chat Initiated,0
191717714,2023-11-14 17:51:36,Call Outbound,0
191717714,2023-11-14 17:51:36,Set No Reply Required,0
191717714,2023-11-14 17:51:36,Call Session End,0
191717714,2023-11-14 17:51:36,Create Work Order,0
191717714,2023-11-14 17:51:36,Submit Work Order,0
191717714,2023-11-14 17:51:36,Manual Case Created,0
191717714,2023-11-14 17:51:36,Set Case Status To Closed,0
191717714,2023-11-14 17:51:36,Call Inbound,0
191717714,2023-11-14 17:51:36,Set Work Order Status to Closed,0
191717714,2023-11-14 17:51:36,Set Work Order Status to Approved,0
191717714,2023-11-14 17:51:36,Set Work Order Status to Pending,0
191717714,2023-11-14 17:51:46,Set Case Status To Completed,0
191717714,2023-11-14 19:56:56,Task Created: Review/ Follow Up,0
191717714,2023-11-14 19:56:56,Task Completed: Review/ Follow Up,0
191717714,2023-11-14 19:56:56,Email Outbound,0
191717714,2023-11-16 16:52:52,Email Inbound,0
191717714,2023-11-17 15:20:00,Call Session Start,1
191717714,2023-11-17 15:20:00,Customer Chat Initiated,0
191717714,2023-11-17 15:20:00,Call Outbound,0
191717714,2023-11-29 22:36:53,Set No Reply Required,0
191717714,2023-12-08 16:53:34,Call Session End,0
191717714,2023-12-27 14:59:54,Create Work Order,0
191717714,2023-12-27 14:59:54,Submit Work Order,0
191717714,2024-01-16 14:26:38,Manual Case Created,0
191717714,2024-01-25 22:39:28,Set Case Status To Closed,0
191717714,2024-01-25 22:44:00,Call Inbound,0
191717714,2024-01-25 22:44:00,Set Work Order Status to Closed,0
191717714,2024-01-25 22:44:00,Set Work Order Status to Approved,0
191717714,2024-01-25 22:44:00,Set Work Order Status to Pending,0
191717714,2024-01-25 22:44:00,Set Case Status To Completed,0
191717714,2024-01-25 22:44:00,Task Created: Review/ Follow Up,0
191717714,2024-01-25 22:44:00,Task Completed: Review/ Follow Up,0
191717714,2024-01-25 22:44:00,Email Outbound,0
191717714,2024-01-25 22:44:00,Email Inbound,0
191717714,2024-01-25 22:44:00,Call Session Start,1
191717714,2024-01-25 22:44:00,Customer Chat Initiated,0
191717714,2024-01-25 22:44:00,Call Outbound,0
191717714,2024-01-25 22:44:00,Set No Reply Required,0
191717714,2024-01-25 22:44:00,Call Session End,0
191717714,2024-01-25 22:44:00,Create Work Order,0
191717714,2024-01-25 22:44:00,Submit Work Order,0
191717714,2024-01-25 22:44:00,Manual Case Created,0
191717714,2024-01-25 22:44:00,Set Case Status To Closed,0
191717714,2024-01-25 22:44:00,Call Inbound,0
191717714,2024-01-25 22:44:00,Set Work Order Status to Closed,0
191717714,2024-01-25 22:44:00,Set Work Order Status to Approved,0
191717714,2024-01-25 22:44:00,Set Work Order Status to Pending,0
191717714,2024-01-25 22:44:00,Set Case Status To Completed,0
191717714,2024-01-25 22:44:00,Task Created: Review/ Follow Up,0
191717714,2024-01-25 22:44:00,Task Completed: Review/ Follow Up,0
191717714,2024-01-25 22:44:20,Email Outbound,0
191717714,2024-01-26 22:11:19,Email Inbound,0
191717714,2024-01-26 22:11:19,Call Session Start,1
191717714,2024-01-26 22:11:19,Customer Chat Initiated,0
191717714,2024-01-29 22:49:06,Call Outbound,0
191717714,2024-01-29 22:49:51,Set No Reply Required,0
191717714,2024-01-29 22:49:51,Call Session End,0
191717714,2024-01-29 22:49:56,Create Work Order,0
191717714,2024-01-29 22:50:04,Submit Work Order,0
191717714,2024-01-29 22:50:04,Manual Case Created,0
191717714,2024-01-29 22:50:04,Set Case Status To Closed,0
191717714,2024-01-29 22:50:08,Call Inbound,0
191717714,2024-01-29 22:50:08,Set Work Order Status to Closed,0
191717714,2024-01-29 22:51:33,Set Work Order Status to Approved,0
191717714,2024-01-29 22:51:33,Set Work Order Status to Pending,0
191717714,2024-01-29 23:02:54,Set Case Status To Completed,0
191717714,2024-01-30 01:36:31,Task Created: Review/ Follow Up,0
191717714,2024-01-30 18:47:27,Task Completed: Review/ Follow Up,0
191717714,2024-01-30 18:47:27,Email Outbound,0
191717714,2024-01-31 17:18:34,Email Inbound,0
191717714,2024-02-01 20:32:17,Call Session Start,1
191717714,2024-02-13 22:56:48,Customer Chat Initiated,0
191717714,2024-02-13 22:57:04,Call Outbound,0
191717714,2024-02-13 22:57:04,Set No Reply Required,0
191717714,2024-02-13 22:57:04,Call Session End,0
191717714,2024-02-13 22:57:04,Create Work Order,0
191717714,2024-02-13 22:57:04,Submit Work Order,0
191717714,2024-02-13 22:57:04,Manual Case Created,0
191717714,2024-02-13 22:57:04,Set Case Status To Closed,0
191717714,2024-02-13 22:57:04,Call Inbound,0
191717714,2024-02-13 22:57:04,Set Work Order Status to Closed,0
191717714,2024-02-13 22:57:04,Set Work Order Status to Approved,0
191717714,2024-02-13 22:57:04,Set Work Order Status to Pending,0
191717714,2024-02-13 22:57:04,Set Case Status To Completed,0
191717714,2024-02-13 22:57:04,Task Created: Review/ Follow Up,0
191717714,2024-02-13 22:57:04,Task Completed: Review/ Follow Up,0
191717714,2024-02-13 22:57:04,Email Outbound,0
191717714,2024-02-13 22:57:04,Email Inbound,0
191717714,2024-02-13 22:57:14,Call Session Start,1
191717714,2024-02-13 23:04:04,Customer Chat Initiated,0
191717714,2024-02-13 23:04:04,Call Outbound,0
191717714,2024-02-13 23:04:05,Set No Reply Required,0
191717714,2024-02-13 23:04:10,Call Session End,0
191717714,2024-02-13 23:04:10,Create Work Order,0
191717714,2024-02-13 23:04:10,Submit Work Order,0
191717714,2024-02-13 23:04:14,Manual Case Created,0
191717714,2024-02-13 23:04:14,Set Case Status To Closed,0
191717714,2024-02-13 23:05:04,Call Inbound,0
191717714,2024-02-13 23:05:04,Set Work Order Status to Closed,0
191717714,2024-02-13 23:12:33,Set Work Order Status to Approved,0
191717714,2024-02-14 02:06:28,Set Work Order Status to Pending,0
191717714,2024-02-14 22:46:09,Set Case Status To Completed,0
191717714,2024-02-14 22:46:09,Task Created: Review/ Follow Up,0
191717714,2024-02-17 00:22:32,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 00:22:32,Email Outbound,0
191717714,2024-02-17 00:22:32,Email Inbound,0
191717714,2024-02-17 00:22:32,Call Session Start,1
191717714,2024-02-17 00:22:32,Customer Chat Initiated,0
191717714,2024-02-17 00:22:32,Call Outbound,0
191717714,2024-02-17 00:22:32,Set No Reply Required,0
191717714,2024-02-17 00:22:32,Call Session End,0
191717714,2024-02-17 00:22:32,Create Work Order,0
191717714,2024-02-17 00:22:32,Submit Work Order,0
191717714,2024-02-17 00:22:32,Manual Case Created,0
191717714,2024-02-17 00:22:32,Set Case Status To Closed,0
191717714,2024-02-17 00:22:32,Call Inbound,0
191717714,2024-02-17 00:22:32,Set Work Order Status to Closed,0
191717714,2024-02-17 00:22:32,Set Work Order Status to Approved,0
191717714,2024-02-17 00:22:32,Set Work Order Status to Pending,0
191717714,2024-02-17 00:22:32,Set Case Status To Completed,0
191717714,2024-02-17 00:22:32,Task Created: Review/ Follow Up,0
191717714,2024-02-17 00:22:32,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 00:22:32,Email Outbound,0
191717714,2024-02-17 00:22:32,Email Inbound,0
191717714,2024-02-17 00:22:32,Call Session Start,1
191717714,2024-02-17 00:22:32,Customer Chat Initiated,0
191717714,2024-02-17 00:22:32,Call Outbound,0
191717714,2024-02-17 00:22:49,Set No Reply Required,0
191717714,2024-02-17 14:28:30,Call Session End,0
191717714,2024-02-17 14:33:05,Create Work Order,0
191717714,2024-02-17 14:33:05,Submit Work Order,0
191717714,2024-02-17 14:33:05,Manual Case Created,0
191717714,2024-02-17 15:12:04,Set Case Status To Closed,0
191717714,2024-02-17 15:12:04,Call Inbound,0
191717714,2024-02-17 15:12:04,Set Work Order Status to Closed,0
191717714,2024-02-17 15:12:04,Set Work Order Status to Approved,0
191717714,2024-02-17 15:12:04,Set Work Order Status to Pending,0
191717714,2024-02-17 15:12:04,Set Case Status To Completed,0
191717714,2024-02-17 15:12:04,Task Created: Review/ Follow Up,0
191717714,2024-02-17 15:12:04,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 15:12:04,Email Outbound,0
191717714,2024-02-17 15:12:04,Email Inbound,0
191717714,2024-02-17 15:12:04,Call Session Start,1
191717714,2024-02-17 15:12:04,Customer Chat Initiated,0
191717714,2024-02-17 15:12:04,Call Outbound,0
191717714,2024-02-17 15:12:04,Set No Reply Required,0
191717714,2024-02-17 15:12:04,Call Session End,0
191717714,2024-02-17 15:12:04,Create Work Order,0
191717714,2024-02-17 15:12:04,Submit Work Order,0
191717714,2024-02-17 15:12:04,Manual Case Created,0
191717714,2024-02-17 15:12:04,Set Case Status To Closed,0
191717714,2024-02-17 15:12:04,Call Inbound,0
191717714,2024-02-17 15:12:04,Set Work Order Status to Closed,0
191717714,2024-02-17 15:12:04,Set Work Order Status to Approved,0
191717714,2024-02-17 15:12:04,Set Work Order Status to Pending,0
191717714,2024-02-17 15:12:11,Set Case Status To Completed,0
191717714,2024-02-17 15:14:13,Task Created: Review/ Follow Up,0
191717714,2024-02-17 15:14:13,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 15:14:14,Email Outbound,0
191717714,2024-02-17 15:14:21,Email Inbound,0
191717714,2024-02-17 15:14:21,Call Session Start,1
191717714,2024-02-17 15:14:21,Customer Chat Initiated,0
191717714,2024-02-17 15:14:28,Call Outbound,0
191717714,2024-02-17 15:14:28,Set No Reply Required,0
191717714,2024-02-17 15:15:01,Call Session End,0
191717714,2024-02-17 15:15:01,Create Work Order,0
191717714,2024-02-17 15:15:43,Submit Work Order,0
191717714,2024-02-17 15:20:53,Manual Case Created,0
191717714,2024-02-17 15:20:53,Set Case Status To Closed,0
191717714,2024-02-17 15:20:53,Call Inbound,0
191717714,2024-02-17 15:20:53,Set Work Order Status to Closed,0
191717714,2024-02-17 15:20:53,Set Work Order Status to Approved,0
191717714,2024-02-17 15:20:53,Set Work Order Status to Pending,0
191717714,2024-02-17 15:20:53,Set Case Status To Completed,0
191717714,2024-02-17 15:20:53,Task Created: Review/ Follow Up,0
191717714,2024-02-17 15:20:53,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 15:20:53,Email Outbound,0
191717714,2024-02-17 15:20:53,Email Inbound,0
191717714,2024-02-17 15:20:53,Call Session Start,1
191717714,2024-02-17 15:20:53,Customer Chat Initiated,0
191717714,2024-02-17 15:20:53,Call Outbound,0
191717714,2024-02-17 15:20:53,Set No Reply Required,0
191717714,2024-02-17 15:20:53,Call Session End,0
191717714,2024-02-17 15:20:53,Create Work Order,0
191717714,2024-02-17 15:20:53,Submit Work Order,0
191717714,2024-02-17 15:20:53,Manual Case Created,0
191717714,2024-02-17 15:20:53,Set Case Status To Closed,0
191717714,2024-02-17 15:20:53,Call Inbound,0
191717714,2024-02-17 15:20:53,Set Work Order Status to Closed,0
191717714,2024-02-17 15:20:53,Set Work Order Status to Approved,0
191717714,2024-02-17 15:20:53,Set Work Order Status to Pending,0
191717714,2024-02-17 15:21:00,Set Case Status To Completed,0
191717714,2024-02-17 15:21:05,Task Created: Review/ Follow Up,0
191717714,2024-02-17 15:22:33,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 15:25:54,Email Outbound,0
191717714,2024-02-17 15:25:54,Email Inbound,0
191717714,2024-02-17 15:25:55,Call Session Start,1
191717714,2024-02-17 15:26:03,Customer Chat Initiated,0
191717714,2024-02-17 15:26:03,Call Outbound,0
191717714,2024-02-17 15:26:03,Set No Reply Required,0
191717714,2024-02-17 15:26:13,Call Session End,0
191717714,2024-02-17 15:26:13,Create Work Order,0
191717714,2024-02-17 15:26:57,Submit Work Order,0
191717714,2024-02-17 15:26:57,Manual Case Created,0
191717714,2024-02-17 15:31:50,Set Case Status To Closed,0
191717714,2024-02-17 15:47:06,Call Inbound,0
191717714,2024-02-17 15:47:06,Set Work Order Status to Closed,0
191717714,2024-02-17 15:47:07,Set Work Order Status to Approved,0
191717714,2024-02-17 15:47:08,Set Work Order Status to Pending,0
191717714,2024-02-17 15:47:27,Set Case Status To Completed,0
191717714,2024-02-17 15:48:50,Task Created: Review/ Follow Up,0
191717714,2024-02-17 15:55:15,Task Completed: Review/ Follow Up,0
191717714,2024-02-17 15:55:17,Email Outbound,0
191717714,2024-02-17 15:55:23,Email Inbound,0
191717714,2024-02-17 15:55:23,Call Session Start,1
191717714,2024-02-17 15:55:23,Customer Chat Initiated,0
191717714,2024-02-17 15:55:26,Call Outbound,0
191717714,2024-02-17 15:55:26,Set No Reply Required,0
191717714,2024-02-17 15:56:02,Call Session End,0
191717714,2024-02-17 15:56:02,Create Work Order,0
191717714,2024-02-17 16:05:16,Submit Work Order,0
191717714,2024-02-17 16:06:05,Manual Case Created,0
